# Metrics for NVIDIA GeForce RTX 5090
# Total: 3534
#----------------------------------------------------------------------------------------------------
# Metric Name                                                            Type            Unit           
#----------------------------------------------------------------------------------------------------
l1tex__data_bank_conflicts_pipe_lsu_mem_gds_op_red                     Counter         #              
l1tex__data_bank_conflicts_pipe_lsu_mem_gds_op_st                      Counter         #              
l1tex__data_bank_conflicts_pipe_lsu_mem_shared                         Counter         #              
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_atom                 Counter         #              
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld                   Counter         #              
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ldgsts               Counter         #              
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_misc                 Counter         #              
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st                   Counter         #              
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_umemsets             Counter         #              
l1tex__data_bank_conflicts_type_arbitration                            Counter         #              
l1tex__data_bank_reads                                                 Counter         #              
l1tex__data_bank_writes                                                Counter         #              
l1tex__data_pipe_lsu_wavefronts                                        Counter         #              
l1tex__data_pipe_lsu_wavefronts_cmd_read                               Counter         #              
l1tex__data_pipe_lsu_wavefronts_cmd_write                              Counter         #              
l1tex__data_pipe_lsu_wavefronts_mem_lgds                               Counter         #              
l1tex__data_pipe_lsu_wavefronts_mem_lgds_cmd_read                      Counter         #              
l1tex__data_pipe_lsu_wavefronts_mem_lgds_cmd_write                     Counter         #              
l1tex__data_pipe_lsu_wavefronts_mem_shared                             Counter         #              
l1tex__data_pipe_lsu_wavefronts_mem_shared_cmd_read                    Counter         #              
l1tex__data_pipe_lsu_wavefronts_mem_shared_cmd_write                   Counter         #              
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_atom                     Counter         #              
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ipa                      Counter         #              
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld                       Counter         #              
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_misc                     Counter         #              
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st                       Counter         #              
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_umemsets                 Counter         #              
l1tex__data_pipe_lsu_wavefronts_mem_surface                            Counter         #              
l1tex__data_pipe_tex_wavefronts                                        Counter         #              
l1tex__data_pipe_tex_wavefronts_mem_surface                            Counter         #              
l1tex__data_pipe_tex_wavefronts_mem_texture                            Counter         #              
l1tex__data_pipe_tex_wavefronts_realtime                               Counter         #              
l1tex__f_cycles_active                                                 Counter         #              
l1tex__f_tex2sm_cycles_active                                          Counter         cycle          
l1tex__f_tex2sm_cycles_stalled                                         Counter         cycle          
l1tex__f_wavefronts                                                    Counter         #              
l1tex__lsu_writeback_active                                            Counter         cycle          
l1tex__lsu_writeback_active_mem_lgds                                   Counter         cycle          
l1tex__lsu_writeback_active_mem_shared                                 Counter         cycle          
l1tex__lsuin_requests                                                  Counter         #              
l1tex__m_l1tex2xbar_req_cycles_active                                  Counter         cycle          
l1tex__m_l1tex2xbar_req_cycles_active_mem_dshared                      Counter         cycle          
l1tex__m_l1tex2xbar_req_cycles_active_mem_dshared_loopback             Counter         cycle          
l1tex__m_l1tex2xbar_req_cycles_active_op_tma                           Counter         cycle          
l1tex__m_l1tex2xbar_req_cycles_stalled                                 Counter         cycle          
l1tex__m_l1tex2xbar_throughput                                         Throughput      %              
l1tex__m_l1tex2xbar_throughput_pipe_lsu                                Throughput      %              
l1tex__m_l1tex2xbar_throughput_pipe_lsu_mem_dshared                    Throughput      %              
l1tex__m_l1tex2xbar_throughput_pipe_tex                                Throughput      %              
l1tex__m_l1tex2xbar_write_bytes                                        Counter         byte           
l1tex__m_l1tex2xbar_write_bytes_mem_dshared                            Counter         byte           
l1tex__m_l1tex2xbar_write_bytes_mem_dshared_op_atom                    Counter         byte           
l1tex__m_l1tex2xbar_write_bytes_mem_dshared_op_ld                      Counter         byte           
l1tex__m_l1tex2xbar_write_bytes_mem_dshared_op_redas                   Counter         byte           
l1tex__m_l1tex2xbar_write_bytes_mem_dshared_op_st                      Counter         byte           
l1tex__m_l1tex2xbar_write_bytes_mem_dshared_op_tma_red                 Counter         byte           
l1tex__m_l1tex2xbar_write_bytes_mem_dshared_op_tma_st                  Counter         byte           
l1tex__m_l1tex2xbar_write_bytes_mem_global_op_atom                     Counter         byte           
l1tex__m_l1tex2xbar_write_bytes_mem_global_op_red                      Counter         byte           
l1tex__m_l1tex2xbar_write_bytes_mem_global_op_tma_red                  Counter         byte           
l1tex__m_l1tex2xbar_write_bytes_mem_global_op_tma_st                   Counter         byte           
l1tex__m_l1tex2xbar_write_bytes_mem_lg_op_st                           Counter         byte           
l1tex__m_l1tex2xbar_write_bytes_mem_surface_op_atom                    Counter         byte           
l1tex__m_l1tex2xbar_write_bytes_mem_surface_op_red                     Counter         byte           
l1tex__m_l1tex2xbar_write_bytes_mem_surface_op_st                      Counter         byte           
l1tex__m_l1tex2xbar_write_bytes_pipe_lsu                               Counter         byte           
l1tex__m_l1tex2xbar_write_bytes_pipe_tex                               Counter         byte           
l1tex__m_l1tex2xbar_write_bytes_pipe_tma                               Counter         byte           
l1tex__m_l1tex2xbar_write_sectors                                      Counter         sector         
l1tex__m_l1tex2xbar_write_sectors_mem_dshared                          Counter         sector         
l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_atom                  Counter         sector         
l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_ld                    Counter         sector         
l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_redas                 Counter         sector         
l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_st                    Counter         sector         
l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_tma_red               Counter         sector         
l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_tma_st                Counter         sector         
l1tex__m_l1tex2xbar_write_sectors_mem_global_op_atom                   Counter         sector         
l1tex__m_l1tex2xbar_write_sectors_mem_global_op_red                    Counter         sector         
l1tex__m_l1tex2xbar_write_sectors_mem_global_op_tma_red                Counter         sector         
l1tex__m_l1tex2xbar_write_sectors_mem_global_op_tma_st                 Counter         sector         
l1tex__m_l1tex2xbar_write_sectors_mem_lg_op_st                         Counter         sector         
